"nta_name","location_name","latitude","longitude"
"Lincoln Square","West End Secondary School","40.772608","-73.988338"
"Ocean Hill","Brooklyn Landmark Elementary School","40.680679","-73.910719"
"Eastchester-Edenwald-Baychester","Baychester Academy","40.881344","-73.839386"
"Highbridge","P.S. 011 Highbridge","40.839693","-73.92589"
"Pomonok-Flushing Heights-Hillcrest","P.S. 201 The Discovery School for Inquiry and Rese","40.736541","-73.813011"
"Crown Heights South","The High School for Global Citizenship","40.669805","-73.960689"
"Briarwood-Jamaica Hills","Jamaica High School","40.714551","-73.798658"
"Gramercy","Washington Irving High School","40.735361","-73.987064"
"Central Harlem North-Polo Grounds","KAPPA IV","40.817228","-73.947151"
"East New York (Pennsylvania Ave)","P.S. 190 Sheffield","40.662243","-73.894877"
"Bensonhurst East","Hebrew Language Academy Charter School 2","40.600808","-73.986345"
"Woodside","P.S. 152 Gwendoline N. Alleyne School","40.753094","-73.900584"
"Yorkville","Yorkville Community School","40.777948","-73.947287"
"Washington Heights South","M.S. 324 - Patria Mirabal","40.839139","-73.935815"
"Kew Gardens Hills","Townsend Harris High School","40.737038","-73.821532"
"Washington Heights North","P.S. 132 Juan Pablo Duarte","40.850561","-73.933964"
"East Village","Ross Global Academy Charter School","40.729152","-73.982472"
"Cambria Heights","Humanities & Arts Magnet High School","40.698786","-73.74633"
"Park Slope-Gowanus","M.S. K266 - Park Place Community Middle School","40.678809","-73.976648"
"Rosedale","P.S. 038 Rosedale","40.67115","-73.733774"
"Kew Gardens Hills","Queens School of Inquiry, The","40.724195","-73.80938"
"Morrisania-Melrose","P.S. X140 The Eagle School","40.823318","-73.907489"
"Fort Greene","Academy of Arts and Letters","40.690742","-73.970896"
"Bushwick North","Bushwick Ascend Charter School","40.693748","-73.90892"
"East New York","P.S. 224 Hale A. Woodruff","40.664143","-73.866542"
"Cambria Heights","Benjamin Franklin High School for Finance & Inform","40.698786","-73.74633"
"Canarsie","Victory Collegiate High School","40.634451","-73.916927"
"Gramercy","The 47 American Sign Language & English Lower Scho","40.738374","-73.981329"
"Borough Park","Urban Assembly School for Criminal Justice","40.6351","-73.982424"
"Jamaica","P.S./I.S. 268","40.707648","-73.78521"
"Belmont","P.S. 032 Belmont","40.851724","-73.88622"
"Bellerose","Queens High School of Teaching, Liberal Arts and t","40.744197","-73.728834"
"Astoria","Academy Of Humanities And Applied Science At The W","40.757072","-73.911165"
"Sunset Park West","New Voices School of Academic & Creative Arts","40.660805","-73.988743"
"Great Kills","I.S. 024 Myra S. Barnes","40.54549","-74.145558"
"Central Harlem North-Polo Grounds","P.S. 092 Mary McLeod Bethune","40.814917","-73.945838"
"Carroll Gardens-Columbia Street-Red Hook","Summit Academy Charter School","40.677914","-74.005151"
"East Tremont","P.S. 595","40.846205","-73.889602"
"Stuyvesant Heights","Bedford Stuyvesant Collegiate Charter School","40.68797","-73.932066"
"Bronxdale","Bronxdale High School","40.860443","-73.860729"
"Chinatown","Manhattan Early College School for Advertising","40.711441","-74.000851"
"Bedford","P.S. 305 Dr. Peter Ray","40.685653","-73.94573"
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","P.S. 261 Philip Livingston","40.687218","-73.988667"
"Woodlawn-Wakefield","P.S. 016 Wakefield","40.902311","-73.854231"
"Springfield Gardens North","Springfield Gardens Hs","40.6682","-73.7569"
"Claremont-Bathgate","Eximius College Preparatory Academy: A College Boa","40.833884","-73.902794"
"Woodlawn-Wakefield","P.S. 087 Bronx","40.895741","-73.846198"
"West Farms-Bronx River","Bronx Little School","40.838151","-73.866038"
"Lincoln Square","Special Music School","40.775256","-73.982976"
"East Harlem South","DREAM Charter School","40.789174","-73.945101"
"Williamsbridge-Olinville","JHS 113 Richard R. Green","40.8809","-73.8609"
"East Flatbush-Farragut","East Flatbush Ascend Charter School","40.652671","-73.939706"
"Van Cortlandt Village","Celia Cruz Bronx High School of Music, The","40.869061","-73.897066"
"Belmont","I.S. 254","40.858721","-73.889878"
"East Harlem South","Amber Charter School","40.790932","-73.943904"
"Forest Hills","P.S. 175 The Lynn Gross Discovery School","40.731016","-73.85221"
"Clinton","P.S. 035","40.764129","-73.985899"
"East Concourse-Concourse Village","J.H.S. 166 Roberto Clemente","40.828009","-73.917705"
"Central Harlem North-Polo Grounds","Harlem Children's Zone Promise Academy 1 Charter S","40.811882","-73.947317"
"Longwood","The Longwood Academy of Discovery","40.820108","-73.898399"
"Prospect Heights","P.S. 316 Elijah Stroud","40.674685","-73.961418"
"Carroll Gardens-Columbia Street-Red Hook","JHS 142","40.6801","-74.0014"
"Ocean Hill","EBC/ENY High School for Public Safety & Law","40.677528","-73.904143"
"Bushwick South","Upper Academy At Ps 147","40.7052","-73.9394"
"Jamaica Estates-Holliswood","The Bellaire School","40.720864","-73.757591"
"Cypress Hills-City Line","East Brooklyn Ascend Charter School","40.681183","-73.867071"
"Marble Hill-Inwood","Amistad Dual Language School","40.866381","-73.923818"
"East New York (Pennsylvania Ave)","P.S. 174 Dumont","40.665446","-73.897604"
"Bronxdale","P.S. 096 Richard Rodgers","40.86073","-73.868986"
"Port Richmond","P.S. 020 Port Richmond","40.636729","-74.132382"
"North Side-South Side","Williamsburg Preparatory School","40.715561","-73.954815"
"Norwood","J.H.S. 080 The Mosholu Parkway","40.876819","-73.881245"
"Bronxdale","Global Enterprise High School","40.860443","-73.860729"
"Van Cortlandt Village","P.S. 360","40.874717","-73.902214"
"North Side-South Side","P.S. 017 Henry D. Woodworth","40.715268","-73.9573"
"Central Harlem North-Polo Grounds","Success Academy Charter School - Harlem 5","40.820216","-73.944551"
"Melrose South-Mott Haven North","I.S. 584","40.814857","-73.912038"
"East Williamsburg","J.H.S. 049 William J. Gaynor","40.71","-73.9436"
"Woodhaven","J.H.S. 210 Elizabeth Blackwell","40.68476","-73.847633"
"West Village","High School M560 - City As School","40.729052","-74.006155"
"Brownsville","P.S. 165 Ida Posner","40.657061","-73.910938"
"Clinton","High School for Environmental Studies","40.767848","-73.98861"
"Crown Heights North","Research and Service High School","40.678478","-73.931604"
"Bensonhurst West","J.H.S. 227 Edward B. Shallow","40.622102","-73.995961"
