borough,latitude,longitude,crash_time,contributing_factor_vehicle_1
BROOKLYN,40.628930,-73.971375,12:30:00,Unspecified
MANHATTAN,40.831177,-73.942085,16:15:00,Driver Inattention/Distraction
BROOKLYN,40.675037,-73.930534,18:00:00,Passing or Lane Usage Improper
BROOKLYN,40.648840,-73.951020,19:01:00,Driver Inattention/Distraction
BROOKLYN,40.600883,-73.958694,8:04:00,Driver Inattention/Distraction
MANHATTAN,40.766586,-73.953100,10:13:00,Passing Too Closely
BRONX,40.833126,-73.828285,9:40:00,Unspecified
BRONX,40.834675,-73.930275,22:06:00,Following Too Closely
BRONX,40.863647,-73.891800,23:06:00,Traffic Control Disregarded
BROOKLYN,40.689426,-73.942230,4:45:00,Traffic Control Disregarded
BROOKLYN,40.676594,-73.890380,12:47:00,Turning Improperly
MANHATTAN,40.832764,-73.945830,0:00:00,Driver Inattention/Distraction
QUEENS,40.747536,-73.893440,19:00:00,Unspecified
STATEN ISLAND,40.540833,-74.159386,17:00:00,Failure to Yield Right-of-Way
QUEENS,40.670017,-73.746185,6:15:00,Unspecified
BROOKLYN,40.694996,-73.970220,8:15:00,Passing or Lane Usage Improper
BROOKLYN,40.676758,-73.917404,13:45:00,Following Too Closely
MANHATTAN,40.801240,-73.941830,16:25:00,Driver Inattention/Distraction
BROOKLYN,40.667377,-73.880394,3:00:00,Unsafe Speed
BROOKLYN,40.679935,-73.913890,7:40:00,Other Vehicular
BROOKLYN,40.684475,-73.974080,8:00:00,Driver Inattention/Distraction
BROOKLYN,40.678160,-74.014160,5:27:00,Driver Inexperience
MANHATTAN,40.800262,-73.945540,14:56:00,Unspecified
BROOKLYN,40.682842,-73.976600,20:50:00,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion
BROOKLYN,40.660316,-73.913216,18:16:00,Driver Inattention/Distraction
MANHATTAN,40.805300,-73.947280,4:00:00,Unspecified
QUEENS,40.758224,-73.917410,21:20:00,Backing Unsafely
MANHATTAN,40.824734,-73.948540,12:00:00,Driver Inattention/Distraction
BRONX,40.855873,-73.791490,18:14:00,Unspecified
BROOKLYN,40.686115,-73.869920,21:42:00,Unspecified
BROOKLYN,40.693176,-73.952140,12:00:00,Passing Too Closely
QUEENS,40.755337,-73.843254,12:07:00,Driver Inattention/Distraction
BROOKLYN,40.641895,-73.933240,18:55:00,Failure to Yield Right-of-Way
BRONX,40.838780,-73.918106,18:38:00,Passing Too Closely
QUEENS,40.761510,-73.883610,1:00:00,Driver Inattention/Distraction
BROOKLYN,40.700420,-73.956566,14:00:00,Oversized Vehicle
STATEN ISLAND,40.609436,-74.069400,2:10:00,Driver Inattention/Distraction
BROOKLYN,40.643930,-73.999330,12:30:00,Unspecified
QUEENS,40.761303,-73.860430,17:30:00,Driver Inattention/Distraction
BROOKLYN,40.694836,-73.969150,16:28:00,Alcohol Involvement
BROOKLYN,40.580658,-73.985664,11:30:00,Backing Unsafely
BRONX,40.872303,-73.846650,17:45:00,Unspecified
BROOKLYN,40.639805,-73.951320,22:55:00,Unspecified
QUEENS,40.608710,-73.747680,7:00:00,Other Vehicular
QUEENS,40.758156,-73.896270,16:55:00,Failure to Yield Right-of-Way
BROOKLYN,40.612420,-73.991234,18:05:00,Driver Inattention/Distraction
BRONX,40.897415,-73.850180,13:25:00,Fell Asleep
QUEENS,40.734440,-73.721790,8:00:00,Traffic Control Disregarded
BROOKLYN,40.642002,-73.898834,18:55:00,Failure to Yield Right-of-Way
MANHATTAN,40.800663,-73.946465,0:30:00,Failure to Yield Right-of-Way
BROOKLYN,40.643517,-73.960980,22:55:00,Unspecified
BRONX,40.846210,-73.912270,10:00:00,Backing Unsafely
BROOKLYN,40.707493,-73.941530,18:35:00,Unspecified
QUEENS,40.786854,-73.822360,19:05:00,Following Too Closely
BRONX,40.888870,-73.864365,15:45:00,Driver Inattention/Distraction
BROOKLYN,40.682156,-73.920616,20:00:00,Unspecified
BROOKLYN,40.668270,-73.902630,17:16:00,Following Too Closely
QUEENS,40.752045,-73.879036,8:00:00,Unspecified
QUEENS,40.671448,-73.789430,13:36:00,Passing Too Closely
QUEENS,40.666393,-73.764465,0:30:00,Unspecified
MANHATTAN,40.746520,-73.993880,17:15:00,Driver Inattention/Distraction
QUEENS,40.685610,-73.806540,21:35:00,Alcohol Involvement
MANHATTAN,40.791570,-73.944690,9:45:00,Failure to Yield Right-of-Way
QUEENS,40.663050,-73.748740,14:30:00,Unspecified
BROOKLYN,40.605072,-73.997795,22:30:00,Driver Inattention/Distraction
BRONX,40.835598,-73.913800,14:35:00,Backing Unsafely
QUEENS,40.748320,-73.877290,6:45:00,Driver Inattention/Distraction
BROOKLYN,40.648840,-73.951020,6:15:00,Driver Inattention/Distraction
BROOKLYN,40.636612,-73.977080,18:53:00,Driver Inattention/Distraction
BROOKLYN,40.674740,-73.997770,13:55:00,Following Too Closely
MANHATTAN,40.765152,-73.995155,5:56:00,Unspecified
BROOKLYN,40.704483,-73.948800,15:40:00,Failure to Yield Right-of-Way
QUEENS,40.742523,-73.949240,0:01:00,Unspecified
QUEENS,40.742170,-73.804436,10:39:00,Other Vehicular
BROOKLYN,40.576990,-73.981530,18:35:00,Passing or Lane Usage Improper
BRONX,40.818607,-73.904785,4:13:00,Unspecified
QUEENS,40.772200,-73.741760,17:58:00,Unsafe Speed
